"computation time (s)","series size n","series_type","visibility","Method"
0.78695,1000.00000,"walk","nvg","bt"
1.67433,1000.00000,"walk","hvg","basic"
0.13738,1000.00000,"walk","hvg","dc"
0.04978,1000.00000,"walk","hvg","bt"
3.58269,1000.00000,"walk","nvg","basic"
0.41879,1000.00000,"walk","nvg","dc"
1.26310,1000.00000,"walk","nvg","bt"
1.39272,1000.00000,"walk","hvg","basic"
0.23503,1000.00000,"walk","hvg","dc"
0.07056,1000.00000,"walk","hvg","bt"
4.10897,1000.00000,"walk","nvg","basic"
0.51597,1000.00000,"walk","nvg","dc"
1.32027,1000.00000,"walk","nvg","bt"
1.61481,1000.00000,"walk","hvg","basic"
0.25015,1000.00000,"walk","hvg","dc"
0.07317,1000.00000,"walk","hvg","bt"
2.47256,1000.00000,"walk","nvg","basic"
0.29819,1000.00000,"walk","nvg","dc"
0.86366,1000.00000,"walk","nvg","bt"
1.11144,1000.00000,"walk","hvg","basic"
0.11927,1000.00000,"walk","hvg","dc"
0.05051,1000.00000,"walk","hvg","bt"
2.91938,1000.00000,"walk","nvg","basic"
0.22890,1000.00000,"walk","nvg","dc"
0.76936,1000.00000,"walk","nvg","bt"
1.46110,1000.00000,"walk","hvg","basic"
0.15164,1000.00000,"walk","hvg","dc"
0.05281,1000.00000,"walk","hvg","bt"
3.35793,1000.00000,"walk","nvg","basic"
0.37751,1000.00000,"walk","nvg","dc"
1.05971,1000.00000,"walk","nvg","bt"
1.38549,1000.00000,"walk","hvg","basic"
0.15817,1000.00000,"walk","hvg","dc"
0.05545,1000.00000,"walk","hvg","bt"
2.03385,1000.00000,"random","nvg","basic"
0.05008,1000.00000,"random","nvg","dc"
0.21148,1000.00000,"random","nvg","bt"
1.12090,1000.00000,"random","hvg","basic"
0.04227,1000.00000,"random","hvg","dc"
0.02075,1000.00000,"random","hvg","bt"
2.03598,1000.00000,"random","nvg","basic"
0.05085,1000.00000,"random","nvg","dc"
0.20783,1000.00000,"random","nvg","bt"
1.12507,1000.00000,"random","hvg","basic"
0.04243,1000.00000,"random","hvg","dc"
0.02311,1000.00000,"random","hvg","bt"
2.03647,1000.00000,"random","nvg","basic"
0.06343,1000.00000,"random","nvg","dc"
0.23085,1000.00000,"random","nvg","bt"
